Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM1426121	0.0080338752799282	0.0530264593567644	0.129141057490783	0.15055518660747	0	0.133270609976489	0.0288342521914515	0.0349394294321535	0	0	0.0791276850122852	0	0.0243499968622844	0.0712472903123014	0.0987565730346554	0.141790518731683	0	0.0215488298174405	0.00641633679597641	0	0	0.018961899098335	9999	0.295341198798516	0.96471698200286
GSM1426122	0.0683453778514301	0.103733611977667	0.22121477187504	0.0787040791090106	0	0.053982480904637	0	0	0.0529738482158956	0	0.122814730285411	0	0	0.193359683616154	0.0276550194148982	0.0219536365697869	0	0.020447000985304	0	0.0348157591947653	0	0	9999	0.398764616573241	0.923472621971473
GSM1426123	0.00384994261010433	0.0738173504575697	0.144309344415968	0.170669368521355	0	0.0903450503702197	0	0	0.0444564560992431	0	0.0863957792795532	0	0.012044563232762	0.180414987917396	0.0299192243727082	0.0242465607815019	0	0.0199697402212269	0.049766480917989	0.0235820541851189	0	0.0462130966172836	9999	0.205172686599133	1.00553116592208
GSM1426124	0.078817850300183	0.101492383658595	0.0487357356254258	0.249057938746394	0	0.0245849345457888	0.00400866562436533	0.051363669258838	0.0324240455724157	0	0.0733932030692909	0	0	0.0875758968413092	0.10273557717099	0.0567635991022393	0	0.0329451421463108	0	0.0379299732871672	0	0.0181713850506861	9999	0.398462381788965	0.918834257375186
GSM1426125	0.115289993252573	0.0546488853775342	0.206586809365916	0.133961583032948	0	0.0959934501469303	0	0	0.0452734918067965	0	0.0546865304313679	0.009200855041732	0	0.195956719656823	0.0104553629652278	0.00646216647549319	0	0.0362485731439819	0	0.00243324244455866	0	0.0328023368581183	9999	0.397451440644283	0.92306457390003
GSM1426126	0	0.0257548174900094	0.133825171656716	0.01669419954507	0	0.0836779143801882	0	0.0115755786299067	0	0	0.0606289490903826	0	0.0545790241769981	0.230151834198676	0	0	0	0.0775207616806477	0	0.0866226220613157	0	0.21896912709009	9999	0.525190797439957	0.850687624220144
GSM1426127	0.147309942723519	0.120814326409713	0.173326277994931	0.159343567599404	0	0.0513645182603108	0.00949998323478508	0.0730938339765841	0	0	0.0577910700788676	0	0.0313470798266188	0.0744123787297477	0.0169078852872645	0.0089612834394674	0	0.0316647760733903	0.0326432276790849	0.0115198486863129	0	0	9999	0.341284036635077	0.95522476264445
GSM1426128	0.0584604673098316	0.119391493048256	0.104577538963616	0.114845982023448	0	0.0721257600171131	0	0.05387848337178	0.0733175138316055	0	0.0746395574734117	0	0	0.134928175949253	0.0569004004002701	0	0	0.0446130230717315	0	0.065704181541569	0	0.0266174229981143	9999	0.412809550649783	0.910636460073631
GSM1426129	0	0.064215336944417	0.136432188973787	0.114713697596277	0	0.144478571793876	0.000602626558239766	0	0	0	0.0715735383943197	0	0.0669663090256696	0.0988514365222512	0.0532279569831811	0.00839300703002322	0	0.116657149419752	0.047789625347155	0.0621926222513314	0	0.0139059331597195	9999	0.347922220990633	0.939933581546223
GSM1426130	0	0.08386932346245	0.262883536316071	0.206879027691319	0	0	0	0.0350854574545168	0.0436132484942776	0	0.0386766864811065	0.0387956116775376	0.0962652999382878	0.153992271113798	0	0	0	0.0265512934074049	0.0133882439632308	0	0	0	9999	0.191685516449922	1.03240116202519
GSM1426131	0.126952985303368	0.189784955805449	0.016574229384948	0.0720076684636858	0	0.157905953240903	0.0327397301576579	0	0	0	0.112716476596965	0	0.0332730741230893	0.0898452918878331	0.0726709061931375	0.0248523852037764	0	0.0445749094210854	0.00798041522349187	0.0181210189946095	0	0	9999	0.529249132613408	0.849626026018761
GSM1426132	0.0545230773815004	0.123310217556816	0.102500132540207	0.124999212408487	0	0.137622270979064	0	0	0	0	0.0712027719465251	0	0.0332328911618314	0.191685945158213	0.0370471298667094	0.0236550712961537	0	0.0209488658600284	0	0.0572007884732872	0	0.0220716253711776	9999	0.535688215513612	0.84815091432758
GSM1426133	0.00884006977390845	0.0286488955221132	0.235571748434061	0.196618005358414	0	0.137198350300823	0	0.010339996425641	0.0161806279733839	0	0.0532067252217127	0	0.0407809418763567	0.101025254042655	0.0460554583778775	0	0	0.0133272342146868	0.0604502389495158	0.0243506066123915	0	0.0274058469164602	9999	0.356450272760288	0.941215296430195
GSM1426134	0.0528062340204458	0.10569841557423	0.0874613744286099	0.114091582331185	0	0.0762910070651997	0	0.0204852813819678	0.0183961281386554	0	0.0813933084897238	0	0.0307704089619531	0.0546568233552519	0.0600377479032202	0.0266960430674392	0	0.0998065995473009	0	0.0594464061531098	0	0.111962639581707	9999	0.374144326200876	0.928890207827728
GSM1426135	0.0789591345630521	0.0874182188630851	0.156778117765328	0.227975452676936	0	0.0410144134164329	0.000505579846653196	0	0.0282345521690457	0	0.0724527756517396	0	0	0.134332340659525	0.0438095419257431	0.0740855101696021	0	0.0367237409907682	0	0.0177106213020886	0	0	9999	0.347135647838281	0.946113685492721
GSM1426136	0.0714492410063872	0	0.236978489775148	0.37251395795666	0	0	0.0072261718076842	0	0.0272493491716914	0	0.0371475089921385	0	0	0.119542372599483	0.0121910339725584	0	0	0.086011045454382	0	0.0229071906207788	0	0.00678363864308902	9999	0.219708643800882	1.02140655875869
GSM1426137	0	0.0213237277417805	0.231915772335098	0.147227278933005	0	0.194794757749502	0	0	0.0109888459146443	0	0.0572839802075248	0	0.0312159771421114	0.136448830228497	0.00197892585435579	0.0454599966116858	0	0.0250551028977801	0.0724302224400385	0.0144849377226823	0	0.00939164422129491	9999	0.158238886918364	1.03305619436636
GSM1426138	0.0502736257253334	0.0498401730189107	0.178395939427472	0.135377770266791	0	0.19087114454121	0	0.00805249987171392	0.00673287571417706	0	0.0764991408314821	0	0	0.13432634686205	0.0190293667017422	0.00314946000889379	0	0.0278633516276995	0.0109241897992666	0.0577827021240381	0	0.0508814134792198	9999	0.420614127679157	0.907496134986813
