"Mixture"	"Plasma cells"	"Monocytes"	"Eosinophils"	"Neutrophils"	"B cells"	"T cells"	"Macrophages"
"GSM1426071"	"0.677416495033178"	"0"	"0.000968592726552943"	"0.0175191712629415"	"0.173239142440537"	"0.0563899824399418"	"0.0754352088234019"
"GSM1426072"	"0.340342114429527"	"0.00944556583392048"	"0.000706109077785223"	"0.193387499269551"	"0.0907039582888437"	"0.0439628981290294"	"0.322157964049128"
"GSM1426073"	"0.580113253848872"	"0.242710385642969"	"0.00148902132366997"	"0"	"0"	"0.0983586846360007"	"0.0788176758721575"
"GSM1426074"	"0.383461243266125"	"0"	"0.00181509255136049"	"0.0991020561057391"	"0.0923457767033428"	"0.0238031986562292"	"0.401287725268564"
"GSM1426075"	"0.449466843794168"	"0.105345411576459"	"0.000330409581768214"	"0"	"0.140728346142772"	"0.041974999158044"	"0.262484399328556"
"GSM1426076"	"0.206236996496057"	"0"	"0.00114215571117096"	"0.537988792531356"	"0.11288874142801"	"0"	"0.142885469544577"
"GSM1426077"	"0.473501590482574"	"0.0132843805859055"	"0.000157193420050424"	"0.0247762143356343"	"0.197883970102691"	"0.050606158663391"	"0.239947685829804"
"GSM1426078"	"0.337990204904769"	"0.126141610473256"	"0.00206540724349232"	"0"	"0.121632669056764"	"0.0421076709183685"	"0.372127844646842"
