"Mixture"	"Plasma cells"	"Monocytes"	"Eosinophils"	"Neutrophils"	"B cells"	"T cells"	"Macrophages"
"GSM1945826"	"0"	"0"	"0.000968592726552943"	"0.000968592726552943"	"0.754956028325853"	"0.0966984051951852"	"0.148345566478962"
"GSM1945827"	"0.0813557416990394"	"0"	"0.000706109077785223"	"0.000706109077785223"	"0.757818244886612"	"0.0854098281731574"	"0.0754161852411914"
"GSM1945828"	"0.64131356334949"	"0.113213822827922"	"0.00148902132366997"	"0.00148902132366997"	"0"	"0.171517323268722"	"0.0739552905538664"
"GSM1945829"	"0.384253728318589"	"0.0289757096157898"	"0.00181509255136049"	"0.00181509255136049"	"0.362035192642198"	"0.120057025549833"	"0.10467834387359"
"GSM1945830"	"0.339544301735262"	"0"	"0.000330409581768214"	"0.000330409581768214"	"0.419496014703303"	"0.1292187387003"	"0.111740944861134"
"GSM1945831"	"0.503289348024172"	"0.135659643985279"	"0.00114215571117096"	"0.00114215571117096"	"0.14522998382972"	"0.159052067256147"	"0.0567689569046815"
"GSM1945832"	"0.491245749389028"	"0.0628204587538063"	"0.000157193420050424"	"0.000157193420050424"	"0.279816454352307"	"0.132727662216861"	"0.033389675287997"
"GSM1945833"	"0.16297109077884"	"0"	"0.00206540724349232"	"0.00206540724349232"	"0.638375398297802"	"0.0970964658816674"	"0.10155704504169"
"GSM1945834"	"0.332985320161433"	"0.0041245242800116"	"0.0004405468764913"	"0.0004405468764913"	"0.493080168000624"	"0.11609785956985"	"0.0537121279880814"
"GSM1945835"	"0.331608253642256"	"0"	"3.95327959410511e-06"	"3.95327959410511e-06"	"0.470111001071884"	"0.0993759016082126"	"0.0989048436776467"
"GSM1945836"	"0.593825477631315"	"0.248132170531522"	"0.000537116047465204"	"0.000537116047465204"	"0"	"0.152717793777506"	"0.00532455805965735"
