GeneSymbol	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages
A1BG	20.2068062457608	145.241967459177	0	1775.94352707526	5.09211930871897	0	16.54878482335
A1CF	469.395892140256	1318.14251257823	42298.3662688257	26653.7146167596	194.213304514905	0	2396.19887237774
A2M	192.857710313423	1214.47622289818	52774.1117426082	47583.1381119244	173.410184124612	22.0415505705742	235.09601629516
A2ML1	8.59074467388439	54.7547116900134	1010.48733162154	680.737279840933	3.66146034752747	6.66752277961788	21.8405772421921
A3GALT2	5.42507200887332	27.3498313893093	503.860514964916	145.029628853297	3.54527140999117	10.2081007710566	15.8366454736944
A4GALT	22.0908096811082	107.009686364154	0	0	10.3223341168996	0	5.90154176423388
A4GNT	10.9488125223499	15.3620892739275	642.661955232576	534.514372447148	4.98050597237274	50.130415946793	26.3917983342843
AAAS	91.5382008157141	176.239036797146	5889.83947183494	3466.81854468746	41.0155089764828	348.510471914918	338.032527338836
AACS	66.0060200575377	124.744475194522	0	0	51.3933776382506	368.19465860562	175.888397233265
AADAC	936.930186852757	2572.30286139703	0	0	657.005699707956	4418.12925585873	3478.1099369181
AADACL2	5.19918974117386	16.8382530147181	589.492515634891	339.831319315873	3.36616451062871	19.0645464108112	18.1663184969266
AADACL3	8.33664305381003	24.6355709439764	761.995309507646	502.04782780162	3.49591153530079	24.9316544785482	6.97978215151586
AADACL4	10.8918150291323	17.0223152784756	132.338500366256	115.847319628374	8.44589875314174	52.0387689622983	32.9396993054295
AADAT	18.4372643375788	37.9535975508564	2379.56463356021	1213.96492487936	9.33416289252515	67.991618302643	77.2807847222628
AAED1	37.2130065608923	240.696517560313	1742.62374162852	6803.66471334001	11.6289278168254	126.668115859123	138.728771918895
AAGAB	61.7538020167327	193.358180041251	150.773667632153	6112.04250039033	32.8455588518343	303.543674084474	225.582890017686
AAK1	72.2472277796367	206.889647520965	3885.43569100567	532.08976291991	38.2643630309972	430.74206503291	272.171894103344
AAMDC	55.3446372373073	71.6441489783775	0	0	29.9507695121675	221.470238586668	144.159785892515
AAMP	147.659184747071	262.337899958146	0	5975.92710604288	74.2716682150503	637.928682997457	331.594562252002
AANAT	13.6916832031295	27.4026868397066	451.206139540366	528.257204580623	6.85779523972841	7.38333431832784	39.0782484055541
AAR2	77.4448812295286	199.464620349898	4481.35026031335	0	46.3984423007082	340.638306765493	363.022400644304
AARD	13.4456374270544	12.5344802990978	0	0	5.67842068707383	54.6419026168005	11.6381335064515
AARS	129.637467634827	162.770297591181	2969.55976418341	128631.942429158	205.599010511291	369.329154532304	1232.07956466882
AARS2	39.4136820481878	46.9531692782249	2348.64369239691	1514.11178087994	16.5615503003731	113.695450841601	36.5507923134598
AASDH	17.2649064349432	71.8840141318724	3647.44475196137	640.96917669508	20.3863737421631	133.904200403967	141.923491330498
AASDHPPT	17.0542452725539	33.9372051402643	1264.92727958639	478.949346976602	9.03900705953168	86.562692889399	53.1267914366667
AASS	47.1518307716065	71.7851328617133	6111.9633164599	5189.03950590126	30.6505971978329	217.626483372834	116.867069332821
AATF	77.4803475459889	132.194607952384	13467.7357435379	2706.75283022842	65.1336427523172	314.403344391835	349.00742784426
AATK	53.7702482855648	310.187532652322	3311.76874452335	3344.14740575102	23.6033941021513	128.938473926523	52.7384614873969
AATK.AS1	24.164924052854	204.771338298953	1093.36606563684	1904.64287204839	6.60532912923427	0	16.0318853487991
ABAT	36.1640163776554	122.564477214277	0	0	74.0473545868737	3.29056523702761	343.881316578056
ABCA1	26.021020373458	140.045423589474	5264.47884264248	3868.35336077149	33.5486979780717	101.33651526278	144.649327969402
ABCA10	23.7018922290327	66.6736375875254	3091.14189116947	714.24450808138	11.9120824297487	83.0271318912235	54.4907445354406
ABCA11P	11.3571217340989	22.9127068454374	0	0	6.68203764917687	51.0924001956942	50.9431531067828
ABCA12	3.97423898128271	6.79069918611223	108.209455326232	0	1.72275393164431	14.854766406008	8.90648785407327
ABCA13	15.8229906243388	34.7121624505949	0	0	7.20512867697138	81.2240110001024	20.8524122873327
ABCA2	72.4672690777215	127.620565221242	0	0	43.2038515803137	0	47.0113299705209
ABCA3	40.769313419721	72.6104959676973	330.458239316104	752.303985049517	24.4845193211969	135.717532528249	138.959503652216
ABCA4	4.03525260544705	28.576137294108	533.103032114509	840.129931102668	5.53673612086124	1.58196359895814	26.0593189101429
ABCA5	184.398859936957	307.321198251422	7429.24006590854	0	56.7263557931365	415.979029543907	347.31276245398
ABCA6	27.0569063535307	67.34552374687	2038.42641676754	0	16.5874064943732	100.822792509593	123.72129647857
ABCA7	59.6253044002563	119.089259675529	3930.32544240243	1661.18794936774	29.2421761557628	206.997675728328	161.02946549999
ABCA8	36.3511619514652	85.3638798190556	1773.53616007378	4231.40741778718	12.774721273332	63.8812259591656	61.4095899139374
ABCA9	15.70706672637	43.0180145824334	0	481.896404930086	5.19072829706339	42.8404526244535	39.7908595999343
ABCB1	1126.96147785131	2747.90545316582	38311.514929316	92309.6001613226	459.623788663059	2385.54772238216	5694.50434484752
ABCB10	68.0952382374313	102.809765836633	1792.12693704047	7048.08721958507	38.7622441566818	265.881717399266	257.714791498994
ABCB11	10.5543164385464	8.94604642912736	432.252735736013	191.687167074004	4.93249434222723	47.1735523057233	19.2599461599554
ABCB4	0	42.3138670555966	994.771244215107	0	8.85883618014898	72.7192777856497	120.654533265432
ABCB5	3.43608688554684	8.50966293929201	137.302777211185	0	2.23130096386098	6.67529614175039	11.8493108484837
