"Mixture"	"Plasma cells"	"Monocytes"	"Eosinophils"	"Neutrophils"	"B cells"	"T cells"	"Macrophages"
"GSM1945810"	"0.730380007429328"	"0.0385068345641266"	"0.000968592726552943"	"0"	"0"	"0.139448104348695"	"0.0916650536578499"
"GSM1945811"	"0.701991949450676"	"0.060887346433681"	"0.000706109077785223"	"0"	"0.112975504133562"	"0.0557888932170945"	"0.0683563067649866"
"GSM1945812"	"0.514048082912479"	"0"	"0.00148902132366997"	"0.13213486165299"	"0.157354325852579"	"0.0160204269665221"	"0.18044230261543"
"GSM1945813"	"0.399428669970446"	"0"	"0.00181509255136049"	"0"	"0.327828798561589"	"0.0687447584517921"	"0.203997773016173"
"GSM1945814"	"0.516631268299169"	"0.0439557176299428"	"0.000330409581768214"	"0"	"0.263604055116884"	"0.0510251146478207"	"0.124783844306184"
"GSM1945815"	"0.435870727783289"	"0"	"0.00114215571117096"	"0.0513193443366329"	"0.351056217533573"	"0.0723196689731613"	"0.089434041373344"
"GSM1945816"	"0.513687657859141"	"0"	"0.000157193420050424"	"0"	"0.320943474554769"	"0.100790786814044"	"0.0645780807720456"
"GSM1945817"	"0.691153385232421"	"0.0624675382086753"	"0.00206540724349232"	"0"	"0.125239566272014"	"0.12113951028689"	"0"
"GSM1945818"	"0.491064314522565"	"0.00685304215396844"	"0.0004405468764913"	"0"	"0.279987676942403"	"0.109369301392062"	"0.112725664989002"
"GSM1945819"	"0.572541807365187"	"0"	"3.95327959410511e-06"	"0.0489229584391634"	"0.124216986585026"	"0.102950680259583"	"0.15136756735104"
"GSM1945820"	"0.699865978859445"	"0.133363789837713"	"0.000537116047465204"	"0"	"0"	"0.166770231302842"	"0"
"GSM1945821"	"0.542529026918599"	"0"	"1.26045309065822e-05"	"0.160040794309353"	"0.189047643184282"	"0.0539094162116519"	"0.0544731193761133"
"GSM1945822"	"0.643259265529243"	"0.0896972290652716"	"0.000176254372177401"	"0"	"0.0369495866616172"	"0.189624512685045"	"0.0404694060588233"
"GSM1945823"	"0.289912975234754"	"0"	"0.00158368026637119"	"0"	"0.42776068076287"	"0.0043066309416229"	"0.278019713060753"
"GSM1945824"	"0.581788772393429"	"0"	"0.000467791789447757"	"0"	"0.25376627838159"	"0.096812308450741"	"0.0676326407742401"
"GSM1945825"	"0.694527472293177"	"0.0820271120245629"	"0.00119461174518081"	"0"	"0.0643705911004508"	"0.137770777058364"	"0.0213040475234457"
