Mixture	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages	P-value	Correlation	RMSE
GSM1945810	0.730380007429328	0.0385068345641266	0	0	0	0.139448104348695	0.0916650536578499	9999	0.0388869068499167	1.12625613506776
GSM1945811	0.701991949450676	0.060887346433681	0	0	0.112975504133562	0.0557888932170945	0.0683563067649866	9999	0.0299126454819126	1.13077003633595
GSM1945812	0.514048082912479	0	0	0.13213486165299	0.157354325852579	0.0160204269665221	0.18044230261543	9999	0.111877474798843	1.0676326918935
GSM1945813	0.399428669970446	0	0	0	0.327828798561589	0.0687447584517921	0.203997773016173	9999	0.211677890774698	1.04383941345212
GSM1945814	0.516631268299169	0.0439557176299428	0	0	0.263604055116884	0.0510251146478207	0.124783844306184	9999	0.159523964280542	1.06447877640553
GSM1945815	0.435870727783289	0	0	0.0513193443366329	0.351056217533573	0.0723196689731613	0.089434041373344	9999	0.0933961508058855	1.11032580037605
GSM1945816	0.513687657859141	0	0	0	0.320943474554769	0.100790786814044	0.0645780807720456	9999	0.025068527262056	1.16011127290911
GSM1945817	0.691153385232421	0.0624675382086753	0	0	0.125239566272014	0.12113951028689	0	9999	0.0103426764807263	1.15483284300476
GSM1945818	0.491064314522565	0.00685304215396844	0	0	0.279987676942403	0.109369301392062	0.112725664989002	9999	0.11972658518224	1.09584226198485
GSM1945819	0.572541807365187	0	0	0.0489229584391634	0.124216986585026	0.102950680259583	0.15136756735104	9999	0.0789069973556786	1.09328172325333
GSM1945820	0.699865978859445	0.133363789837713	0	0	0	0.166770231302842	0	9999	0.019122866176117	1.13701084992055
GSM1945821	0.542529026918599	0	0	0.160040794309353	0.189047643184282	0.0539094162116519	0.0544731193761133	9999	0.0979227794483316	1.07960741821097
GSM1945822	0.643259265529243	0.0896972290652716	0	0	0.0369495866616172	0.189624512685045	0.0404694060588233	9999	0.0273342888038815	1.13726168404299
GSM1945823	0.289912975234754	0	0	0	0.42776068076287	0.0043066309416229	0.278019713060753	9999	0.262880106535206	1.02874633311404
GSM1945824	0.581788772393429	0	0	0	0.25376627838159	0.096812308450741	0.0676326407742401	9999	0.0514186207026594	1.13831325626849
GSM1945825	0.694527472293177	0.0820271120245629	0	0	0.0643705911004508	0.137770777058364	0.0213040475234457	9999	0.0241202953976947	1.13690414308289
