Mixture	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages	P-value	Correlation	RMSE
GSM1426090	0.470151446413182	0	0	0	0.16989425756985	0.0465150220989128	0.313439273918055	9999	0.396708814685396	0.931728881151153
GSM1426091	0.63143987128108	0.059928690152511	0	0	0.0744770596919259	0.0584831824001561	0.175671196474327	9999	0.128619901861051	1.06654372296931
GSM1426092	0.685242723167275	0.0637497266870141	0	0	0.0485539857053059	0.0388292308893021	0.163624333551103	9999	0.139144242804056	1.06538084792151
GSM1426093	0.674852447928118	0	0	0.0416484470350569	0.158552885678366	0.00218422270120818	0.12276199665725	9999	0.428197364402554	0.919204590630639
GSM1426094	0.259809504987135	0	0	0.358670470843135	0.145616088571956	0.038222575434064	0.19768136016371	9999	0.542270194288771	0.846130315071738
GSM1426095	0.48762143021343	0	0	0.161457438198524	0.135817750384631	0.0477335014019738	0.167369879801441	9999	0.571625582471089	0.827257270783083
GSM1426096	0.284118275508561	0	0	0.525876866555922	0.041080842897258	0	0.148924015038259	9999	0.425891223773079	0.908355142889045
GSM1426097	0.0598684550259055	0	0	0.299616722187937	0.479958410522058	0	0.160556412264099	9999	0.515360857532321	0.857758147051255
GSM1426098	0.279369749994978	0	0	0.441646894904874	0.0449549421475531	0.0145611071966573	0.219467305755938	9999	0.387723171332508	0.924658933202663
GSM1426099	0.431812385446134	0	0	0.226499738811345	0.122824878002848	0.011435867871446	0.207427129868227	9999	0.445714133580175	0.897127246586709
GSM1426100	0.435254168705785	0	0	0.0487891323372542	0.263988764642669	0.0545959140207808	0.197372020293511	9999	0.62213674199595	0.786693591972299
GSM1426101	0.47706283542725	0	0	0.257014280363973	0.099372630163889	0.0106508748451154	0.155899379199772	9999	0.511958168154646	0.864881699618686
GSM1426102	0.359080912780483	0	0	0.0642812773861529	0.363208841515948	0.0623513350228253	0.151077633294591	9999	0.30310453675965	0.988812873264079
GSM1426103	0.196451510574602	0	0	0.164536968726927	0.470002372807043	0	0.169009147891429	9999	0.49116645640609	0.87538590017843
GSM1426104	0.202615872920174	0	0	0.384780666905827	0.25900896951983	0	0.153594490654168	9999	0.462420430531567	0.887775150885294
GSM1426105	0.0837471856598917	0	0	0.372510756165186	0.346210779425359	0.0201924539284866	0.177338824821077	9999	0.561908262916475	0.828984498339589
GSM1426106	0.407447534321712	0	0	0.186360330126148	0.211027240208403	0	0.195164895343737	9999	0.318362364990562	0.964896224401049
GSM1426107	0.272098092504584	0	0	0.0705918934468284	0.49007040341266	0	0.167239610635928	9999	0.594976742276252	0.804085308292378
GSM1426108	0.388357934548764	0	0	0.337077073005902	0.107492131860037	0.0131623973702214	0.153910463215076	9999	0.248932843620919	0.98809983217098
GSM1426109	0.37080925734154	0	0	0.0216458308031343	0.365864990639121	0.00833806418134063	0.233341857034864	9999	0.442709627268781	0.908095739937712
GSM1426110	0.462176594914594	0	0	0.224110249321567	0.0657232306802902	0.0145582648612644	0.233431660222284	9999	0.198778272128122	1.01757045274346
GSM1426111	0.452639887862615	0	0	0.0259672633435762	0.287037682469977	0.0328643297523502	0.201490836571482	9999	0.369514683928059	0.948553981618954
GSM1426112	0.454411873233375	0	0	0.161150786532013	0.166380522584296	0.0464668922403974	0.171589925409919	9999	0.424877224180993	0.90772457261317
GSM1426113	0.288313311669302	0	0	0.133501181016927	0.261741964176782	0.067392470328516	0.249051072808473	9999	0.455258622093984	0.891961800711419
GSM1426114	0.205574729106578	0	0	0.221151633767862	0.290897174638771	0.0242876178792865	0.258088844607503	9999	0.546164347540412	0.837604461111506
GSM1426115	0.30265399223143	0	0	0.14612671848174	0.135893105371748	0.0498755469836043	0.365450636931478	9999	0.467825622055531	0.886045228729858
GSM1426116	0.124584961670823	0	0	0.311393898781414	0.209316319607736	0.0611353862293529	0.293569433710674	9999	0.485810446762012	0.873701357176713
GSM1426117	0.440186883942936	0	0.133749021549214	0.0336769274804079	0.173574772447742	0.0522502668008915	0.16656212777881	9999	0.347678158499106	0.94684178366292
GSM1426118	0.0594346202784576	0	0	0	0.724334034124216	0.0408298429078156	0.175401502689511	9999	0.639841297617212	0.777839016464182
GSM1426119	0.429956069041292	0.0177608935952165	0	0	0.233193713085372	0.0461345635379273	0.272954760740192	9999	0.490330184386244	0.873255401779721
GSM1426120	0.217716425539807	0	0	0.0381647886715172	0.511850934395016	0.0411370566637548	0.191130794729905	9999	0.443300049885648	0.915984814085658
GSM1426121	0.386138228098027	0	0	0.147684158693819	0.137916757648656	0.0146794544656654	0.313581401093833	9999	0.389145356672901	0.929636766942708
GSM1426122	0.576298463715416	0	0	0.0571295959928368	0.178729215774966	0.0113546750352242	0.176488049481556	9999	0.445575645687183	0.902628435196397
GSM1426123	0.430196844982713	0	0	0.213224959468955	0.114809366935891	0.0224625748538081	0.219306253758633	9999	0.268827054071639	0.984238362892001
GSM1426124	0.212993672193027	0	0	0.0759515670882812	0.303322580505114	0.072074702318426	0.335657477895152	9999	0.486961041981595	0.878266536580383
GSM1426125	0.565817569431564	0	0	0.0986513842526304	0.19710894286904	0.00479016390520213	0.133631939541563	9999	0.445877530169588	0.902958410011934
