"Mixture"	"Plasma cells"	"Monocytes"	"Eosinophils"	"Neutrophils"	"B cells"	"T cells"	"Macrophages"
"GSM1426090"	"0.470151446413182"	"0"	"0"	"0"	"0.16989425756985"	"0.0465150220989128"	"0.313439273918055"
"GSM1426091"	"0.63143987128108"	"0.059928690152511"	"0"	"0"	"0.0744770596919259"	"0.0584831824001561"	"0.175671196474327"
"GSM1426092"	"0.685242723167275"	"0.0637497266870141"	"0"	"0"	"0.0485539857053059"	"0.0388292308893021"	"0.163624333551103"
"GSM1426093"	"0.674852447928118"	"0"	"0"	"0.0416484470350569"	"0.158552885678366"	"0.00218422270120818"	"0.12276199665725"
"GSM1426094"	"0.259809504987135"	"0"	"0"	"0.358670470843135"	"0.145616088571956"	"0.038222575434064"	"0.19768136016371"
"GSM1426095"	"0.48762143021343"	"0"	"0"	"0.161457438198524"	"0.135817750384631"	"0.0477335014019738"	"0.167369879801441"
"GSM1426096"	"0.284118275508561"	"0"	"0"	"0.525876866555922"	"0.041080842897258"	"0"	"0.148924015038259"
"GSM1426097"	"0.0598684550259055"	"0"	"0"	"0.299616722187937"	"0.479958410522058"	"0"	"0.160556412264099"
"GSM1426098"	"0.279369749994978"	"0"	"0"	"0.441646894904874"	"0.0449549421475531"	"0.0145611071966573"	"0.219467305755938"
"GSM1426099"	"0.431812385446134"	"0"	"0"	"0.226499738811345"	"0.122824878002848"	"0.011435867871446"	"0.207427129868227"
"GSM1426100"	"0.435254168705785"	"0"	"0"	"0.0487891323372542"	"0.263988764642669"	"0.0545959140207808"	"0.197372020293511"
"GSM1426101"	"0.47706283542725"	"0"	"0"	"0.257014280363973"	"0.099372630163889"	"0.0106508748451154"	"0.155899379199772"
"GSM1426102"	"0.359080912780483"	"0"	"0"	"0.0642812773861529"	"0.363208841515948"	"0.0623513350228253"	"0.151077633294591"
"GSM1426103"	"0.196451510574602"	"0"	"0"	"0.164536968726927"	"0.470002372807043"	"0"	"0.169009147891429"
"GSM1426104"	"0.202615872920174"	"0"	"0"	"0.384780666905827"	"0.25900896951983"	"0"	"0.153594490654168"
"GSM1426105"	"0.0837471856598917"	"0"	"0"	"0.372510756165186"	"0.346210779425359"	"0.0201924539284866"	"0.177338824821077"
"GSM1426106"	"0.407447534321712"	"0"	"0"	"0.186360330126148"	"0.211027240208403"	"0"	"0.195164895343737"
"GSM1426107"	"0.272098092504584"	"0"	"0"	"0.0705918934468284"	"0.49007040341266"	"0"	"0.167239610635928"
"GSM1426108"	"0.388357934548764"	"0"	"0"	"0.337077073005902"	"0.107492131860037"	"0.0131623973702214"	"0.153910463215076"
"GSM1426109"	"0.37080925734154"	"0"	"0"	"0.0216458308031343"	"0.365864990639121"	"0.00833806418134063"	"0.233341857034864"
"GSM1426110"	"0.462176594914594"	"0"	"0"	"0.224110249321567"	"0.0657232306802902"	"0.0145582648612644"	"0.233431660222284"
"GSM1426111"	"0.452639887862615"	"0"	"0"	"0.0259672633435762"	"0.287037682469977"	"0.0328643297523502"	"0.201490836571482"
"GSM1426112"	"0.454411873233375"	"0"	"0"	"0.161150786532013"	"0.166380522584296"	"0.0464668922403974"	"0.171589925409919"
"GSM1426113"	"0.288313311669302"	"0"	"0"	"0.133501181016927"	"0.261741964176782"	"0.067392470328516"	"0.249051072808473"
"GSM1426114"	"0.205574729106578"	"0"	"0"	"0.221151633767862"	"0.290897174638771"	"0.0242876178792865"	"0.258088844607503"
"GSM1426115"	"0.30265399223143"	"0"	"0"	"0.14612671848174"	"0.135893105371748"	"0.0498755469836043"	"0.365450636931478"
"GSM1426116"	"0.124584961670823"	"0"	"0"	"0.311393898781414"	"0.209316319607736"	"0.0611353862293529"	"0.293569433710674"
"GSM1426117"	"0.440186883942936"	"0"	"0.133749021549214"	"0.0336769274804079"	"0.173574772447742"	"0.0522502668008915"	"0.16656212777881"
"GSM1426118"	"0.0594346202784576"	"0"	"0"	"0"	"0.724334034124216"	"0.0408298429078156"	"0.175401502689511"
"GSM1426119"	"0.429956069041292"	"0.0177608935952165"	"0"	"0"	"0.233193713085372"	"0.0461345635379273"	"0.272954760740192"
"GSM1426120"	"0.217716425539807"	"0"	"0"	"0.0381647886715172"	"0.511850934395016"	"0.0411370566637548"	"0.191130794729905"
"GSM1426121"	"0.386138228098027"	"0"	"0"	"0.147684158693819"	"0.137916757648656"	"0.0146794544656654"	"0.313581401093833"
"GSM1426122"	"0.576298463715416"	"0"	"0"	"0.0571295959928368"	"0.178729215774966"	"0.0113546750352242"	"0.176488049481556"
"GSM1426123"	"0.430196844982713"	"0"	"0"	"0.213224959468955"	"0.114809366935891"	"0.0224625748538081"	"0.219306253758633"
"GSM1426124"	"0.212993672193027"	"0"	"0"	"0.0759515670882812"	"0.303322580505114"	"0.072074702318426"	"0.335657477895152"
"GSM1426125"	"0.565817569431564"	"0"	"0"	"0.0986513842526304"	"0.19710894286904"	"0.00479016390520213"	"0.133631939541563"
"GSM1426126"	"0.297840443493428"	"0.0971783139632147"	"0"	"0.51694791166659"	"0.0139053718355263"	"0.0063751475374739"	"0.0677528115037673"
"GSM1426127"	"0.468237460126263"	"0.00171757094675423"	"0"	"0"	"0.391983961791817"	"0.0266351363139268"	"0.11142587082124"
"GSM1426128"	"0.384284144435554"	"0"	"0"	"0.106358806848878"	"0.266954562525793"	"0"	"0.242402486189776"
"GSM1426129"	"0.460002385980122"	"0.106526841641063"	"0"	"0.0989420442376901"	"0.0880855532176104"	"0.0357649189713511"	"0.210678255952163"
"GSM1426130"	"0.746912919609168"	"0.104110156410158"	"0"	"0.0220117165289541"	"0.0162512548986841"	"0.0112516105649857"	"0.0994623419880494"
"GSM1426131"	"0.0729544881821432"	"0.0189629024029969"	"0"	"0"	"0.603066011848626"	"0.0587380217013193"	"0.246278575864915"
"GSM1426132"	"0.363056129310433"	"0"	"0"	"0.148301867271479"	"0.254816900257511"	"0.0472632102912008"	"0.186561892869377"
"GSM1426133"	"0.61557334005253"	"0"	"0.0168269096844439"	"0.0588224499058601"	"0.0938313917716835"	"0.0387257304081984"	"0.176220178177284"
"GSM1426134"	"0.257501468488111"	"0"	"0"	"0.310068123981709"	"0.220150106180401"	"0.0116388314473505"	"0.200641469902429"
"GSM1426135"	"0.475028201498804"	"0"	"0"	"0.0550519194703545"	"0.244112704694259"	"0.01127200482735"	"0.214535169509233"
"GSM1426136"	"0.610877510339479"	"0.0853235081766318"	"0"	"0"	"0.0526587176719681"	"0.0629359650396308"	"0.18820429877229"
"GSM1426137"	"0.655961413519688"	"0"	"0"	"0.134618862720414"	"0.103729072895835"	"0"	"0.105690650864063"
"GSM1426138"	"0.494671193236619"	"0"	"0"	"0.188736842943114"	"0.148598161399861"	"0.0010175083195256"	"0.166976294100881"
"GSM1426139"	"0.413706659790334"	"0"	"0"	"0.306727546217561"	"0.200134199554433"	"0"	"0.079431594437672"
"GSM1426140"	"0.342582959904677"	"0"	"0"	"0.0897101364934335"	"0.467779112640504"	"0.0122299933494032"	"0.0876977976119828"
"GSM1426141"	"0.609142613766931"	"0"	"0"	"0.119406776571596"	"0.0415339453687033"	"0.0374311199835279"	"0.192485544309241"
"GSM1426142"	"0.296766112474858"	"0"	"0"	"0.452343245007079"	"0.14331548985058"	"0.0153021978387754"	"0.0922729548287077"
"GSM1426143"	"0.69414964199757"	"0.139817205453642"	"0"	"0"	"0.094442205695001"	"0.0454724832688421"	"0.0261184635849449"
"GSM1426144"	"0.506855990674796"	"0"	"0"	"0"	"0.328136821564491"	"0.0335937152422407"	"0.131413472518471"
"GSM1426145"	"0.504089233476148"	"0"	"0"	"0.0134802715356262"	"0.168204765602815"	"0.0390524211828913"	"0.27517330820252"
